bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,obs.sn.initial,exp.sn.initial,obs.sn.1month,exp.sn.1month,obs.sn.2month,exp.sn.2month,mono.viable?
6,V91,DP2,58,1,poly,control,deep,D1,pink,1,1.71,2,1.97,3,2.22,0
3,V101,DP5,21,4,poly,control,deep,D10,purple,3,2.5,6,2.25,6,4,1
5,V93,DP1,41,4,poly,control,deep,D10,purple,2,2.5,3,2.25,4,4,1
10,V107,DP3,91,2,poly,control,deep,D10,yellow,1,2.5,1,2.25,1,4,1
3,V101,DP5,21,1,poly,control,deep,D11,pink,1,1,1,1,1,1,1
6,V91,DP2,58,4,poly,control,deep,D2,purple,2,1.71,3,1.97,4,2.22,0
5,V93,DP1,41,2,poly,control,deep,D3,yellow,2,1.33,3,1.33,5,1,1
6,V91,DP2,58,2,poly,control,deep,D3,yellow,3,1.33,5,1.33,6,1,1
10,V107,DP3,91,3,poly,control,deep,D3,blue,2,1.33,2,1.33,2,1,1
11,V95,DP4,107,1,poly,control,deep,D3,pink,3,1.33,5,1.33,5,1,1
3,V101,DP5,21,3,poly,control,deep,D4,blue,2,1,2,1,4,1,1
10,V107,DP3,91,1,poly,control,deep,D4,pink,2,1,1,1,1,1,1
11,V95,DP4,107,4,poly,control,deep,D6,purple,1,2.5,1,3,1,3.5,1
6,V91,DP2,58,3,poly,control,deep,D8,blue,1,2,1,2,1,2.33,1
3,V101,DP5,21,2,poly,control,deep,D9,yellow,1,1.71,1,1.97,1,2.22,0
5,V93,DP1,41,1,poly,control,deep,D9,pink,1,1.71,1,1.97,1,2.22,0
3,V71,MP2,22,3,poly,control,mid,M12,blue,1,1.25,1,1.75,0,1.75,1
3,V55,MP1,29,2,poly,control,mid,M12,yellow,2,1.25,2,1.75,2,1.75,1
4,V59,MP3,35,4,poly,control,mid,M12,purple,1,1.25,2,1.75,2,1.75,1
11,V69,MP4,103,4,poly,control,mid,M12,purple,2,1.25,3,1.75,3,1.75,1
1,V61,MP5,2,4,poly,control,mid,M3,purple,1,1.67,1,3.33,1,3,1
3,V55,MP1,29,4,poly,control,mid,M3,purple,4,1.67,4,3.33,4,3,1
4,V59,MP3,35,2,poly,control,mid,M3,yellow,1,1.67,1,3.33,1,3,1
4,V59,MP3,35,3,poly,control,mid,M4,blue,1,1.5,1,1.25,1,1.5,1
3,V71,MP2,22,4,poly,control,mid,M6,purple,3,1.67,2,2.67,3,2.33,1
4,V59,MP3,35,1,poly,control,mid,M6,pink,1,1.67,1,2.67,1,2.33,1
1,V61,MP5,2,3,poly,control,mid,M7,blue,3,1.67,3,1.67,1,1.67,1
1,V61,MP5,2,2,poly,control,mid,M8,yellow,2,1.71,1,1.97,1,2.22,0
3,V71,MP2,22,1,poly,control,mid,M9,pink,4,1.5,4,1.5,4,2,1
11,V69,MP4,103,3,poly,control,mid,M9,blue,1,1.5,1,1.5,1,2,1
6,V33,SP4,52,2,poly,control,shallow,S1,yellow,1,2.33,1,2.33,0,2.67,1
8,V23,SP3,71,1,poly,control,shallow,S1,pink,1,2.33,1,2.33,1,2.67,1
8,V21,SP2,80,2,poly,control,shallow,S10,yellow,2,1.71,2,1.97,2,2.22,0
8,V23,SP3,71,3,poly,control,shallow,S11,blue,3,2.5,4,3.5,4,3.5,1
8,V21,SP2,80,3,poly,control,shallow,S11,blue,3,2.5,3,3.5,3,3.5,1
1,V25,SP1,6,1,poly,control,shallow,S12,pink,2,1.33,3,1.33,3,2,1
6,V33,SP4,52,1,poly,control,shallow,S12,pink,1,1.33,1,1.33,0,2,1
1,V25,SP1,6,2,poly,control,shallow,S3,yellow,1,1.67,1,1.67,1,1.67,1
8,V23,SP3,71,4,poly,control,shallow,S3,purple,2,1.67,2,1.67,3,1.67,1
6,V33,SP4,52,4,poly,control,shallow,S5,purple,1,1.71,1,1.97,1,2.22,0
8,V23,SP3,71,2,poly,control,shallow,S5,yellow,1,1.71,1,1.97,1,2.22,0
1,V25,SP1,6,3,poly,control,shallow,S6,blue,1,1,1,1.5,1,2,1
8,V21,SP2,80,1,poly,control,shallow,S6,pink,2,1,2,1.5,2,2,1
6,V91,DP2,51,1,poly,disease,deep,D1,pink,1,1.68,1,1.83,1,1.79,0
11,V95,DP4,108,3,poly,disease,deep,D1,blue,1,1.68,1,1.83,1,1.79,0
5,V93,DP1,50,4,poly,disease,deep,D10,purple,1,1,1,1,2,1,1
10,V107,DP3,100,2,poly,disease,deep,D10,yellow,3,1,4,1,5,1,1
1,V97,DP5,8,4,poly,disease,deep,D11,purple,1,1.67,1,2,0,2,1
1,V97,DP5,8,1,poly,disease,deep,D2,pink,1,1.68,1,1.83,0,1.79,0
6,V91,DP2,51,4,poly,disease,deep,D2,purple,1,1.68,2,1.83,2,1.79,0
5,V93,DP1,50,2,poly,disease,deep,D3,yellow,3,1,6,1,6,1,1
10,V107,DP3,100,3,poly,disease,deep,D3,blue,3,1,3,1,1,1,1
11,V95,DP4,108,1,poly,disease,deep,D3,pink,3,1,3,1,3,1,1
1,V97,DP5,8,3,poly,disease,deep,D4,blue,3,2.75,2,2.5,1,2.25,1
10,V107,DP3,100,1,poly,disease,deep,D4,pink,1,2.75,1,2.5,1,2.25,1
11,V95,DP4,108,4,poly,disease,deep,D6,purple,2,1,2,1,2,0,1
6,V91,DP2,51,3,poly,disease,deep,D8,blue,2,1.33,2,1.33,2,1.33,1
5,V93,DP1,50,1,poly,disease,deep,D9,pink,2,1.68,3,1.83,2,1.79,0
3,V71,MP2,23,2,poly,disease,mid,M10,yellow,1,2,1,1.67,1,2.33,1
