bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive,shoot.no,total.length.cm,mono.viable?,Shoot.Paired.exact?,two.shoots.paired,Vase.Paired.Exact?,Vase.Paired.Initial
5,V93,DP1,41,1,poly,control,deep,D9,pink,1,1,17,0,1,1,1,1
5,V93,DP1,41,2,poly,control,deep,D3,yellow,1,2,142.5,1,1,1,1,1
5,V93,DP1,41,3,poly,control,deep,NA,blue,0,0,0,NA,NA,1,1,1
5,V93,DP1,41,4,poly,control,deep,D10,purple,1,2,96,1,1,1,1,1
5,V93,DP1,50,1,poly,disease,deep,D9,pink,1,2,82,0,1,1,1,1
5,V93,DP1,50,2,poly,disease,deep,D3,yellow,1,3,131.5,1,1,1,1,1
5,V93,DP1,50,3,poly,disease,deep,NA,blue,0,0,0,NA,NA,1,1,1
5,V93,DP1,50,4,poly,disease,deep,D10,purple,1,1,9.5,1,1,1,1,1
6,V91,DP2,51,1,poly,control,deep,D1,pink,1,1,6.5,0,1,1,1,1
6,V91,DP2,51,2,poly,control,deep,D3,yellow,1,1,4,1,1,1,1,1
6,V91,DP2,51,3,poly,control,deep,D8,blue,1,2,87.5,1,1,1,1,1
6,V91,DP2,51,4,poly,control,deep,D2,purple,1,1,51.5,0,1,1,1,1
6,V91,DP2,58,1,poly,disease,deep,D1,pink,1,1,45,0,1,1,1,1
6,V91,DP2,58,2,poly,disease,deep,D3,yellow,1,3,113.5,1,1,1,1,1
6,V91,DP2,58,3,poly,disease,deep,D8,blue,1,1,36.5,1,1,1,1,1
6,V91,DP2,58,4,poly,disease,deep,D2,purple,1,2,144.5,0,1,1,1,1
10,V107,DP3,91,1,poly,control,deep,D4,pink,1,2,74,1,1,1,1,1
10,V107,DP3,91,2,poly,control,deep,D10,yellow,1,1,51,1,1,1,1,1
10,V107,DP3,91,3,poly,control,deep,D3,blue,1,2,88,1,1,1,1,1
10,V107,DP3,91,4,poly,control,deep,NA,purple,0,0,0,NA,NA,1,1,1
