bin.id,paired.com.id.initial,paired.com.id.final,vase.id,loc.id,diversity.treatment,disease.treatment,depth,family.id,color,alive.24JAN,obs.sn.initial,exp.sn.initial,total.length.24JAN,infected.shoot.length.24JAN,lesion.present.09MAR,alive.26MAR,obs.sn.final,exp.sn.final,total.length.26MAR,infected.shoot.length.26MAR,lesion.present.26MAR,lesion.spread.T.26MAR,lesion.spread.B.26MAR,lesion.spread.26MAR,mono.viable?
6,V91,DP2,58,1,poly,control,deep,D1,pink,1,1,1.71,45,45,0,1,2,1.97,70,44,0,NA,NA,NA,0
6,V91,DP2,51,1,poly,disease,deep,D1,pink,1,1,1.68,6.5,6.5,1,1,1,1.83,8,8,1,2.5,2.5,5,0
11,V95,DP4,108,3,poly,disease,deep,D1,blue,1,1,1.68,14,14,1,1,1,1.83,14,14,1,0.5,0.5,1,0
3,V101,DP5,21,4,poly,control,deep,D10,purple,1,3,2.5,149,60.5,0,1,6,2.25,177,61,0,NA,NA,NA,1
5,V93,DP1,41,4,poly,control,deep,D10,purple,1,2,2.5,96,68.5,0,1,3,2.25,118,79,0,NA,NA,NA,1
10,V107,DP3,91,2,poly,control,deep,D10,yellow,1,1,2.5,51,51,0,1,1,2.25,35,35,0,NA,NA,NA,1
5,V93,DP1,50,4,poly,disease,deep,D10,purple,1,1,1,9.5,9.5,1,1,1,1,10,10,NA,NA,NA,NA,1
10,V107,DP3,100,2,poly,disease,deep,D10,yellow,1,3,1,125,74,1,1,4,1,102,50,1,1,1,2,1
3,V101,DP5,21,1,poly,control,deep,D11,pink,1,1,1,23,23,0,1,1,1,10,10,NA,NA,NA,NA,1
1,V97,DP5,8,4,poly,disease,deep,D11,purple,1,1,1.67,9.5,9.5,0,1,1,2,2,2,NA,NA,NA,NA,1
6,V91,DP2,58,4,poly,control,deep,D2,purple,1,2,1.71,144.5,92,0,1,3,1.97,145,84,0,NA,NA,NA,0
1,V97,DP5,8,1,poly,disease,deep,D2,pink,1,1,1.68,9.5,9.5,1,1,1,1.83,7,7,NA,NA,NA,NA,0
6,V91,DP2,51,4,poly,disease,deep,D2,purple,1,1,1.68,51.5,51.5,1,1,2,1.83,61,47,1,7,3.5,10.5,0
5,V93,DP1,41,2,poly,control,deep,D3,yellow,1,2,1.33,142.5,84,0,1,3,1.33,163,85,0,NA,NA,NA,1
6,V91,DP2,58,2,poly,control,deep,D3,yellow,1,3,1.33,113.5,61,0,1,5,1.33,131,59,0,NA,NA,NA,1
10,V107,DP3,91,3,poly,control,deep,D3,blue,1,2,1.33,88,69.5,0,1,2,1.33,72.5,53,0,NA,NA,NA,1
11,V95,DP4,107,1,poly,control,deep,D3,pink,1,3,1.33,182.5,86.5,0,1,5,1.33,222.5,83.5,0,NA,NA,NA,1
5,V93,DP1,50,2,poly,disease,deep,D3,yellow,1,3,1,131.5,64.5,1,1,6,1,146.5,62,1,1.5,1.5,3,1
10,V107,DP3,100,3,poly,disease,deep,D3,blue,1,3,1,111.5,30,1,1,3,1,107.5,31,1,2,0.5,2.5,1
11,V95,DP4,108,1,poly,disease,deep,D3,pink,1,3,1,213,80,1,1,3,1,210.5,79,1,0.5,0.5,1,1
3,V101,DP5,21,3,poly,control,deep,D4,blue,1,2,1,73.5,60,0,1,2,1,65,59,0,NA,NA,NA,1
10,V107,DP3,91,1,poly,control,deep,D4,pink,1,2,1,74,56,0,1,1,1,45,45,0,NA,NA,NA,1
1,V97,DP5,8,3,poly,disease,deep,D4,blue,1,3,2.75,50,34,1,1,2,2.5,39,32,NA,NA,NA,NA,1
10,V107,DP3,100,1,poly,disease,deep,D4,pink,1,1,2.75,45.5,45.5,1,1,1,2.5,18,18,1,1,1,2,1
11,V95,DP4,107,4,poly,control,deep,D6,purple,1,1,2.5,21.5,21.5,0,1,1,3,22,22,1,0.5,0.5,1,1
11,V95,DP4,108,4,poly,disease,deep,D6,purple,1,2,1,93,66,0,1,2,1,88,64,0,NA,NA,NA,1
6,V91,DP2,58,3,poly,control,deep,D8,blue,1,1,2,36.5,36.5,0,1,1,2,36,36,0,NA,NA,NA,1
6,V91,DP2,51,3,poly,disease,deep,D8,blue,1,2,1.33,87.5,45,1,1,2,1.33,54,38,1,3,1,4,1
3,V101,DP5,21,2,poly,control,deep,D9,yellow,1,1,1.71,9,9,0,1,1,1.97,15,15,0,NA,NA,NA,0
5,V93,DP1,41,1,poly,control,deep,D9,pink,1,1,1.71,17,17,0,1,1,1.97,17,17,0,NA,NA,NA,0
5,V93,DP1,50,1,poly,disease,deep,D9,pink,1,2,1.68,82,66.5,0,1,3,1.83,84.5,57,1,NA,NA,1.5,0
3,V71,MP2,23,2,poly,disease,mid,M10,yellow,1,1,2,70,70,1,1,1,1.67,69,69,1,2.5,3.5,6,1
3,V55,MP1,25,1,poly,disease,mid,M11,pink,1,1,1.68,30,30,1,1,1,1.83,26,26,1,3,2,5,0
4,V63,MP5,34,4,poly,disease,mid,M11,purple,1,1,1.68,32.5,32.5,1,1,1,1.83,36,36,NA,NA,NA,NA,0
3,V71,MP2,22,3,poly,control,mid,M12,blue,1,1,1.25,36,36,0,1,1,1.75,36,36,1,10,0,10,1
